============================================================
--- f = 600.0 Hz | active modes = [0, 1] (2 modes) ---
============================================================

--- Phase 1: Mode 0 | Adam (max 40001 steps) ---
[Adam M0] Step 32400 | pde 2.44e-03 | bc 1.38e-03 | total 3.83e-03 | scales [10.622176   3.9428701]
[Adam M0] Step 32600 | pde 6.19e-03 | bc 1.65e-03 | total 7.85e-03 | scales [10.620975   3.8599968]
[Adam M0] Step 32800 | pde 1.70e-02 | bc 2.80e-04 | total 1.72e-02 | scales [10.621359   3.8079243]
[Adam M0] Step 33000 | pde 2.47e-03 | bc 1.37e-03 | total 3.84e-03 | scales [10.617292   3.9309435]
[Adam M0] Step 33200 | pde 3.74e-03 | bc 6.75e-04 | total 4.41e-03 | scales [10.617062  3.858325]
[Adam M0] Step 33400 | pde 3.53e-03 | bc 1.07e-03 | total 4.60e-03 | scales [10.616888   3.8580954]
[Adam M0] Step 33600 | pde 1.03e-02 | bc 9.67e-04 | total 1.12e-02 | scales [10.621467   3.8754985]
[Adam M0] Step 33800 | pde 2.89e-03 | bc 1.03e-03 | total 3.92e-03 | scales [10.622127   3.9016259]
[Adam M0] Step 34000 | pde 7.98e-03 | bc 1.02e-03 | total 9.01e-03 | scales [10.618277   3.8597462]
[Adam M0] Step 34200 | pde 3.43e-03 | bc 7.48e-04 | total 4.17e-03 | scales [10.617589   3.8843718]
[Adam M0] Step 34400 | pde 4.88e-03 | bc 7.40e-04 | total 5.62e-03 | scales [10.620198   3.8398678]
[Adam M0] Step 34600 | pde 2.70e-03 | bc 6.81e-04 | total 3.38e-03 | scales [10.619804  3.92705 ]
[Adam M0] Step 34800 | pde 1.93e-02 | bc 1.08e-03 | total 2.04e-02 | scales [10.621818   3.8233764]
[Adam M0] Step 35000 | pde 3.12e-03 | bc 1.08e-03 | total 4.20e-03 | scales [10.619004   3.7911205]
[Adam M0] Step 35200 | pde 1.49e-03 | bc 8.40e-04 | total 2.33e-03 | scales [10.618967   3.8517065]
[Adam M0] Step 35400 | pde 1.07e-02 | bc 4.80e-04 | total 1.12e-02 | scales [10.619029   3.8775141]
[Adam M0] Step 35600 | pde 1.45e-03 | bc 6.21e-04 | total 2.07e-03 | scales [10.619466   3.8861227]
[Adam M0] Step 35800 | pde 2.85e-03 | bc 6.63e-04 | total 3.51e-03 | scales [10.622036  3.80839 ]
[Adam M0] Step 36000 | pde 3.31e-03 | bc 4.30e-04 | total 3.74e-03 | scales [10.621026   3.8083296]
[Adam M0] Step 36200 | pde 1.46e-03 | bc 5.48e-04 | total 2.01e-03 | scales [10.622074  3.878877]
[Adam M0] Step 36400 | pde 3.06e-03 | bc 5.06e-04 | total 3.57e-03 | scales [10.623477   3.9018383]
[Adam M0] Step 36600 | pde 2.39e-03 | bc 6.01e-04 | total 2.99e-03 | scales [10.623301  3.837745]
[Adam M0] Step 36800 | pde 1.68e-03 | bc 4.19e-04 | total 2.09e-03 | scales [10.621762   3.9059708]
[Adam M0] Step 37000 | pde 3.72e-03 | bc 3.02e-04 | total 4.02e-03 | scales [10.621327   3.8404233]
[Adam M0] Step 37200 | pde 2.12e-03 | bc 4.90e-04 | total 2.61e-03 | scales [10.627725   3.8174229]
[Adam M0] Step 37400 | pde 2.27e-03 | bc 6.55e-04 | total 2.92e-03 | scales [10.63076    3.8333547]
[Adam M0] Step 37600 | pde 2.02e-03 | bc 4.86e-04 | total 2.50e-03 | scales [10.63082    3.8848898]
[Adam M0] Step 37800 | pde 1.55e-03 | bc 8.05e-04 | total 2.35e-03 | scales [10.63082    3.8707612]
[Adam M0] Step 38000 | pde 1.67e-03 | bc 3.78e-04 | total 2.05e-03 | scales [10.632811   3.8916137]
[Adam M0] Step 38200 | pde 2.59e-03 | bc 3.12e-04 | total 2.90e-03 | scales [10.632848  3.857609]
[Adam M0] Step 38400 | pde 2.41e-03 | bc 5.34e-04 | total 2.95e-03 | scales [10.634613  3.788427]
[Adam M0] Step 38600 | pde 3.21e-03 | bc 3.22e-04 | total 3.53e-03 | scales [10.635006   3.8117414]
[Adam M0] Step 38800 | pde 1.80e-03 | bc 4.06e-04 | total 2.21e-03 | scales [10.635145   3.7979424]
[Adam M0] Step 39000 | pde 3.66e-03 | bc 8.15e-04 | total 4.47e-03 | scales [10.635195  3.850928]
[Adam M0] Step 39200 | pde 4.82e-03 | bc 2.92e-04 | total 5.11e-03 | scales [10.63663    3.8011267]
[Adam M0] Step 39400 | pde 1.20e-03 | bc 3.55e-04 | total 1.55e-03 | scales [10.637845   3.8000312]
[Adam M0] Step 39600 | pde 9.70e-04 | bc 1.66e-04 | total 1.14e-03 | scales [10.638936   3.8563752]
[Adam M0] Step 39800 | pde 1.92e-03 | bc 4.61e-04 | total 2.38e-03 | scales [10.639414   3.7975924]
[Adam M0] Step 40000 | pde 4.67e-03 | bc 7.53e-05 | total 4.74e-03 | scales [10.641605   3.8017395]

--- Phase 1: Mode 0 | L-BFGS (max 3001 steps) ---
[LBFGS M0] Step 0 | pde 7.02e-03 | bc 3.31e-04 | total 7.35e-03 | scales [10.641553   3.8017395]
[LBFGS M0] Step 200 | pde 4.53e-04 | bc 6.31e-06 | total 4.59e-04 | scales [10.641483   3.8017392]
[LBFGS M0] Step 400 | pde 4.47e-04 | bc 7.35e-06 | total 4.55e-04 | scales [10.641482  3.801739]
[LBFGS M0] Step 600 | pde 4.52e-04 | bc 7.07e-06 | total 4.59e-04 | scales [10.6414795  3.8017387]
[LBFGS M0] Step 800 | pde 4.44e-04 | bc 6.99e-06 | total 4.51e-04 | scales [10.641501   3.8017387]
[LBFGS M0] Step 1000 | pde 4.37e-04 | bc 6.88e-06 | total 4.43e-04 | scales [10.641491   3.8017373]
[LBFGS M0] Step 1200 | pde 4.21e-04 | bc 4.94e-06 | total 4.26e-04 | scales [10.641488   3.8017375]
[LBFGS M0] Step 1400 | pde 8.40e-03 | bc 4.90e-04 | total 8.89e-03 | scales [10.641483   3.8017378]
[LBFGS M0] Step 1600 | pde 4.60e-04 | bc 1.30e-05 | total 4.73e-04 | scales [10.641477   3.8017373]
[LBFGS M0] Step 1800 | pde 4.00e-04 | bc 5.96e-06 | total 4.06e-04 | scales [10.641479   3.8017373]
[LBFGS M0] Step 2000 | pde 1.51e-02 | bc 3.18e-03 | total 1.83e-02 | scales [10.641478   3.8017373]
[LBFGS M0] Step 2200 | pde 4.28e-04 | bc 6.99e-06 | total 4.35e-04 | scales [10.641458   3.8017378]
[LBFGS M0] Step 2400 | pde 4.07e-04 | bc 8.24e-06 | total 4.16e-04 | scales [10.641481   3.8017392]
[LBFGS M0] Step 2600 | pde 4.03e-04 | bc 6.78e-06 | total 4.10e-04 | scales [10.641486   3.8017383]
[LBFGS M0] Step 2800 | pde 3.97e-04 | bc 5.73e-06 | total 4.03e-04 | scales [10.641492   3.8017368]
[LBFGS M0] Step 3000 | pde 3.90e-04 | bc 6.63e-06 | total 3.97e-04 | scales [10.641492   3.8017368]

--- Phase 1: Mode 1 | Adam (max 40001 steps) ---
[Adam M1] Step 0 | pde 3.91e+04 | bc 5.73e+02 | total 3.97e+04 | scales [11.077973  5.225988]
[Adam M1] Step 200 | pde 9.40e+00 | bc 5.86e-01 | total 9.98e+00 | scales [10.628018   4.5743175]
[Adam M1] Step 400 | pde 5.76e+00 | bc 3.16e-01 | total 6.08e+00 | scales [10.560884   4.5225987]
[Adam M1] Step 600 | pde 4.32e+00 | bc 3.01e-01 | total 4.62e+00 | scales [10.522114   4.4976325]
[Adam M1] Step 800 | pde 2.01e+00 | bc 1.30e-01 | total 2.14e+00 | scales [10.492495  4.507221]
